tiempo,origin,timestamp,class,details
2024-02-29 18:36:04.622455,NodoTest001,709048,received,1709242564471
2024-02-29 18:36:04.657515,NodoTest001,709061,received,1709242564572
2024-02-29 18:36:04.712315,NodoTest001,709132,received,1709242564671
2024-02-29 18:36:04.827387,NodoTest001,709251,received,1709242564772
2024-02-29 18:36:05.031618,NodoTest001,709457,received,1709242564871
2024-02-29 18:36:05.224700,NodoTest001,709470,received,1709242564972
2024-02-29 18:36:05.298473,NodoTest001,709663,received,1709242565071
2024-02-29 18:36:05.306508,NodoTest001,709675,received,1709242565172
2024-02-29 18:36:05.311485,NodoTest001,709686,keepAlive,
2024-02-29 18:36:05.397621,NodoTest001,709733,received,1709242565272
2024-02-29 18:36:05.408674,NodoTest001,709833,received,1709242565371
2024-02-29 18:36:05.510387,NodoTest001,709935,received,1709242565471
2024-02-29 18:36:05.607593,NodoTest001,710032,received,1709242565572
2024-02-29 18:36:05.705802,NodoTest001,710131,received,1709242565671
2024-02-29 18:36:05.806714,NodoTest001,710232,received,1709242565771
2024-02-29 18:36:05.907710,NodoTest001,710332,received,1709242565872
2024-02-29 18:36:06.006707,NodoTest001,710432,received,1709242565971
2024-02-29 18:36:06.245505,NodoTest001,710683,keepAlive,
2024-02-29 18:36:06.294603,NodoTest001,710687,received,1709242566072
2024-02-29 18:36:06.302728,NodoTest001,710699,received,1709242566171
2024-02-29 18:36:06.311532,NodoTest001,710733,received,1709242566271
2024-02-29 18:36:06.467546,NodoTest001,710890,received,1709242566371
2024-02-29 18:36:06.508245,NodoTest001,710932,received,1709242566472
2024-02-29 18:36:06.671014,NodoTest001,711095,received,1709242566571
2024-02-29 18:36:06.706958,NodoTest001,711132,received,1709242566672
2024-02-29 18:36:06.873407,NodoTest001,711299,received,1709242566771
2024-02-29 18:36:06.907244,NodoTest001,711332,received,1709242566871
2024-02-29 18:36:07.080913,NodoTest001,711504,received,1709242566972
2024-02-29 18:36:07.106665,NodoTest001,711532,received,1709242567071
2024-02-29 18:36:07.270149,NodoTest001,711683,keepAlive,
2024-02-29 18:36:07.295943,NodoTest001,711711,received,1709242567171
2024-02-29 18:36:07.308035,NodoTest001,711733,received,1709242567272
2024-02-29 18:36:07.494717,NodoTest001,711915,received,1709242567371
2024-02-29 18:36:07.509396,NodoTest001,711934,received,1709242567471
2024-02-29 18:36:07.695232,NodoTest001,712118,received,1709242567572
2024-02-29 18:36:07.886474,NodoTest001,712134,received,1709242567671
2024-02-29 18:36:07.908442,NodoTest001,712324,received,1709242567772
2024-02-29 18:36:07.920442,NodoTest001,712346,received,1709242567871
2024-02-29 18:36:08.102593,NodoTest001,712528,received,1709242567972
2024-02-29 18:36:08.161791,NodoTest001,712541,received,1709242568071
2024-02-29 18:36:08.212259,NodoTest001,712634,received,1709242568172
2024-02-29 18:36:08.499209,NodoTest001,712683,keepAlive,
2024-02-29 18:36:08.706424,NodoTest001,712941,received,1709242568271
2024-02-29 18:36:08.714424,NodoTest001,712953,received,1709242568372
2024-02-29 18:36:08.721438,NodoTest001,712966,received,1709242568471
2024-02-29 18:36:08.911956,NodoTest001,713144,received,1709242568572
2024-02-29 18:36:08.918956,NodoTest001,713157,received,1709242568671
2024-02-29 18:36:09.115603,NodoTest001,713349,received,1709242568772
2024-02-29 18:36:09.124109,NodoTest001,713361,received,1709242568871
2024-02-29 18:36:09.164456,NodoTest001,713553,received,1709242568972
2024-02-29 18:36:09.171455,NodoTest001,713566,received,1709242569071
