Record,Date,LOC Time,RS482,Profinet,Conexion Profinet,Quality A, Quality B, Quality C
         1,2024-06-07,12:07:26,1,0,0,    88,    76,    90
         2,2024-06-07,12:30:31,0,0,0,    89,    68,    90
         3,2024-06-07,12:36:59,0,0,0,    89,    66,    90
         4,2024-06-07,12:43:26,0,0,0,    89,    69,    90
         5,2024-06-07,12:49:54,0,0,0,    89,    68,    90
         6,2024-06-07,12:56:21,0,0,0,    89,    67,    90
         7,2024-06-07,13:02:49,1,0,0,    88,    66,    89
         8,2024-06-07,13:09:17,0,0,0,    89,    67,    90
         9,2024-06-07,13:15:44,0,0,0,    89,    67,    90
        10,2024-06-07,13:35:15,0,0,0,    89,    69,    90
        11,2024-06-07,13:41:42,0,0,0,    89,    69,    90
        12,2024-06-07,13:48:10,0,0,0,    89,    69,    90
        13,2024-06-07,13:54:37,0,0,0,    89,    69,    90
        14,2024-06-07,16:07:44,0,0,0,    89,    68,    90
        15,2024-06-07,16:14:13,0,0,0,    89,    68,    90
        16,2024-06-07,16:20:41,0,0,0,    89,    70,    90
        17,2024-06-07,16:27:09,0,0,0,    89,    69,    90
        18,2024-06-07,16:53:26,0,0,0,    89,    68,    90
        19,2024-06-07,16:59:54,0,0,0,    89,    67,    90
        20,2024-06-07,17:06:22,0,0,0,    89,    67,    90
        21,2024-06-07,17:12:49,0,0,0,    89,    68,    90
        22,2024-06-07,17:22:45,0,0,0,    89,    68,    90
        23,2024-06-07,17:29:13,0,0,0,    89,    68,    90
        24,2024-06-07,17:35:41,0,0,0,    88,    68,    89
        25,2024-06-07,17:42:09,0,0,0,    89,    69,    90
        26,2024-06-07,17:48:38,0,0,0,    89,    70,    90
        27,2024-06-07,17:55:06,0,0,0,    89,    70,    90
        28,2024-06-07,18:01:34,0,0,0,    89,    67,    90
        29,2024-06-07,18:08:03,0,0,0,    89,    68,    90
        30,2024-06-07,18:14:39,0,0,0,    89,    68,    90
        31,2024-06-07,18:21:07,0,0,0,    89,    69,    90
        32,2024-06-07,18:29:34,0,0,0,    89,    68,    90
        33,2024-06-07,18:36:01,0,0,0,    89,    67,    90
        34,2024-06-07,18:42:29,0,0,0,    89,    68,    90
        35,2024-06-07,18:48:56,0,0,0,    89,    68,    90
        36,2024-06-07,18:55:24,0,0,0,    89,    69,    90
        37,2024-06-07,19:01:51,0,0,0,    89,    68,    90
        38,2024-06-07,19:08:20,0,0,0,    89,    68,    90
        39,2024-06-07,19:31:05,0,0,0,    89,    68,    90
        40,2024-06-07,19:37:35,0,0,0,    89,    70,    90
        41,2024-06-07,19:39:37,0,0,0,    89,    72,    90
        42,2024-06-07,19:49:43,0,0,0,    88,    68,    89
        43,2024-06-07,19:56:11,0,0,0,    89,    68,    90
        44,2024-06-07,20:02:39,0,0,0,    88,    68,    89
        45,2024-06-07,20:09:56,0,0,0,    88,    68,    89
        46,2024-06-07,20:16:24,0,0,0,    89,    67,    90
        47,2024-06-07,20:22:51,0,0,0,    89,    68,    90
        48,2024-06-07,21:08:42,0,0,0,    89,    66,    90
        49,2024-06-07,21:16:24,0,0,0,    88,    67,    89
        50,2024-06-07,21:23:09,0,0,0,    88,    67,    89
        51,2024-06-07,21:29:37,0,0,0,    89,    66,    90
        52,2024-06-07,21:36:04,0,0,0,    89,    67,    90
        53,2024-06-07,21:42:32,0,0,0,    88,    67,    89
        54,2024-06-07,21:50:15,0,0,0,    88,    66,    89
        55,2024-06-07,21:57:29,0,0,0,    88,    67,    89
        56,2024-06-07,22:03:56,0,0,0,    88,    66,    89
        57,2024-06-07,22:10:46,0,0,0,    88,    68,    89
        58,2024-06-07,22:17:13,0,0,0,    88,    67,    89
        59,2024-06-07,22:23:41,0,0,0,    89,    67,    90
        60,2024-06-07,22:30:08,0,0,0,    89,    66,    90
        61,2024-06-07,22:36:36,0,0,0,    88,    69,    89
        62,2024-06-07,22:43:03,0,0,0,    88,    70,    89
        63,2024-06-07,23:03:32,0,0,0,    89,    66,    90
        64,2024-06-07,23:10:00,0,0,0,    89,    69,    90
        65,2024-06-07,23:16:28,0,0,0,    88,    67,    89
        66,2024-06-07,23:22:57,0,0,0,    89,    68,    90
        67,2024-06-07,23:29:24,0,0,0,    89,    69,    90
        68,2024-06-07,23:35:52,0,1,0,    87,    66,    88
        69,2024-06-07,23:42:21,0,0,0,    89,    66,    90
        70,2024-06-08,00:13:40,0,0,0,    89,    68,    90
        71,2024-06-08,00:20:09,0,0,0,    89,    68,    90
        72,2024-06-08,00:26:52,0,0,0,    89,    68,    90
        73,2024-06-08,00:33:21,0,0,0,    88,    67,    89
        74,2024-06-08,00:39:49,0,0,0,    89,    68,    90
        75,2024-06-08,00:47:53,0,0,0,    89,    71,    90
        76,2024-06-08,00:54:21,0,0,0,    89,    68,    90
        77,2024-06-08,01:00:49,0,0,0,    89,    68,    90
        78,2024-06-08,01:14:40,0,0,0,    89,    69,    90
        79,2024-06-08,01:21:43,0,0,0,    89,    68,    90
        80,2024-06-08,01:28:11,0,0,0,    88,    67,    89
        81,2024-06-08,01:39:07,0,0,0,    88,    67,    89
        82,2024-06-08,01:50:59,0,0,0,    89,    68,    90
        83,2024-06-08,01:57:27,0,0,0,    89,    67,    90
        84,2024-06-08,02:03:54,0,0,0,    89,    67,    90
        85,2024-06-08,02:10:22,0,0,0,    89,    68,    90
        86,2024-06-08,02:23:41,0,0,0,    88,    67,    89
        87,2024-06-08,02:30:09,0,0,0,    88,    68,    89
        88,2024-06-08,02:37:33,0,0,0,    89,    67,    90
        89,2024-06-08,02:44:01,0,0,0,    88,    67,    89
        90,2024-06-08,02:53:47,0,0,0,    89,    67,    90
        91,2024-06-08,03:04:58,0,0,0,    89,    68,    90
        92,2024-06-08,03:11:26,0,0,0,    89,    68,    90
        93,2024-06-08,03:17:54,0,0,0,    89,    68,    90
        94,2024-06-08,04:14:30,0,0,0,    89,    67,    90
        95,2024-06-08,04:20:58,0,0,0,    89,    68,    90
        96,2024-06-08,04:30:18,0,0,0,    89,    68,    90
        97,2024-06-08,04:36:46,0,0,0,    89,    67,    90
        98,2024-06-08,04:43:13,0,0,0,    89,    68,    90
        99,2024-06-08,04:50:15,0,0,0,    88,    68,    89
       100,2024-06-08,04:58:10,0,0,0,    89,    70,    90
       101,2024-06-08,05:04:38,0,0,0,    89,    69,    90
       102,2024-06-08,05:11:06,0,0,0,    88,    69,    89
       103,2024-06-08,05:17:34,0,0,0,    89,    68,    90
       104,2024-06-08,05:24:02,0,0,0,    89,    69,    90
       105,2024-06-08,05:32:37,0,0,0,    89,    68,    90
       106,2024-06-08,05:44:53,0,0,0,    89,    69,    90
       107,2024-06-08,05:51:21,0,0,0,    89,    68,    90
       108,2024-06-08,06:01:13,0,0,0,    89,    65,    90
       109,2024-06-08,06:07:57,0,0,0,    89,    68,    90
       110,2024-06-08,06:14:24,0,0,0,    88,    68,    89
       111,2024-06-08,07:26:19,0,0,0,    88,    66,    89
       112,2024-06-08,07:32:46,0,0,0,    89,    69,    90
       113,2024-06-08,07:39:14,0,0,0,    89,    69,    90
       114,2024-06-08,07:45:42,0,0,0,    89,    69,    90
       115,2024-06-08,07:52:09,0,0,0,    89,    68,    90
       116,2024-06-08,07:58:36,0,0,0,    89,    69,    90
       117,2024-06-08,08:05:04,0,0,0,    88,    68,    89
       118,2024-06-08,08:11:31,0,0,0,    89,    66,    90
       119,2024-06-08,08:17:59,0,0,0,    89,    69,    90
       120,2024-06-08,08:26:26,0,0,0,    89,    68,    90
       121,2024-06-08,08:32:53,0,0,0,    89,    68,    90
       122,2024-06-08,08:39:21,1,0,0,    88,    67,    89
       123,2024-06-08,08:45:48,1,0,0,    88,    66,    89
       124,2024-06-08,08:52:46,0,0,0,    88,    65,    89
       125,2024-06-08,08:59:13,0,0,0,    88,    67,    89
       126,2024-06-08,09:05:40,0,0,0,    89,    68,    90
       127,2024-06-08,09:12:07,0,0,0,    89,    67,    90
       128,2024-06-08,09:18:34,0,0,0,    89,    66,    90
       129,2024-06-08,09:25:01,0,0,0,    88,    67,    89
       130,2024-06-08,09:31:29,0,0,0,    88,    67,    89
       131,2024-06-08,09:37:57,0,0,0,    89,    66,    90
       132,2024-06-08,09:44:25,0,0,0,    89,    66,    90
       133,2024-06-08,09:50:53,0,0,0,    89,    68,    90
       134,2024-06-08,09:57:21,0,0,0,    89,    67,    90
       135,2024-06-08,10:03:49,0,0,0,    89,    65,    90
       136,2024-06-08,10:10:16,0,0,0,    89,    66,    90
       137,2024-06-08,10:16:44,0,0,0,    89,    68,    90
       138,2024-06-08,10:23:12,0,0,0,    89,    67,    90
       139,2024-06-08,10:29:40,0,1,0,    78,    59,    90
       140,2024-06-08,10:36:59,0,1,0,    66,    53,    90
       141,2024-06-08,10:43:49,0,0,0,    89,    70,    90
       142,2024-06-08,10:50:16,0,0,0,    89,    70,    90
       143,2024-06-08,11:00:16,0,0,0,    89,    69,    90
       144,2024-06-08,11:07:39,0,0,0,    89,    67,    90
       145,2024-06-08,11:14:08,0,0,0,    89,    68,    90
       146,2024-06-08,11:20:36,0,0,0,    89,    66,    90
       147,2024-06-08,11:27:04,0,0,0,    89,    69,    90
       148,2024-06-08,11:46:42,0,0,0,    89,    66,    90
       149,2024-06-08,11:53:10,0,0,0,    89,    69,    90
